Day,Hours,Minutes,Voltage (V),Current (A),Power (W),Power Factor,Frequency (Hz),Energy (kWh),Inside Temperature (°C),Outside Temperature (°C),Inside Humidity (%),Outside Humidity (%),Temperature Difference,Humidity Difference,Power Factor * Current,Reconstruction_error,Anomaly,Cluster
2023-06-01,19,52,0.9257451727701868,-1.2388071952729336,-1.4324034641885441,-1.5024228280334908,-0.33127324288397814,-14.929030523076028,2.1174062863871654,-0.22282321724293427,1.036933444485174,1.3172453738242873,-2.3402295036300997,0.2803119293391132,1.8612122097101977,1.57491693498416e-07,False,0
2023-06-01,19,52,0.9257451727701868,-1.2388071952729336,-1.4324034641885441,-1.5024228280334908,-0.33127324288397814,-14.929030523076028,2.1174062863871654,-0.22282321724293427,1.036933444485174,1.3172453738242873,-2.3402295036300997,0.2803119293391132,1.8612122097101977,1.57491693498416e-07,False,0
2023-06-02,14,4,0.8578855738259735,-1.0747389216050323,-1.2014992055048177,-1.049731298384769,-0.15625568007545299,-14.58331962204153,2.2155211141463025,-0.22282321724293427,1.139178075462408,1.351277621544894,-2.438344331389237,0.21209954608248616,1.128187083601097,1.4038537282301453e-07,False,0
2023-06-02,14,4,0.8578855738259735,-1.0747389216050323,-1.2014992055048177,-1.049731298384769,-0.15625568007545299,-14.58331962204153,2.2155211141463025,-0.22282321724293427,1.139178075462408,1.351277621544894,-2.438344331389237,0.21209954608248616,1.128187083601097,1.4038537282301453e-07,False,0
2023-06-03,15,40,0.7900259748817667,-1.0486371507942296,-1.180347670358217,-1.049731298384769,-0.15625568007545299,-14.366605325870653,2.313635941905441,-0.2846618699343377,1.1298831090099326,1.2661970022433755,-2.5982978118397786,0.1363138932334429,1.1007872378377315,1.4663849973260663e-07,False,0
2023-06-03,15,40,0.7900259748817667,-1.0486371507942296,-1.180347670358217,-1.049731298384769,-0.15625568007545299,-14.366605325870653,2.313635941905441,-0.2846618699343377,1.1298831090099326,1.2661970022433755,-2.5982978118397786,0.1363138932334429,1.1007872378377315,1.4663849973260663e-07,False,0
2023-06-04,18,42,0.8126458411965023,-1.1977901268559583,-1.1997365775759343,-0.4461425921864712,0.018761882733072187,-13.979615511279798,2.2645785280258717,-0.2846618699343377,0.9811636457703194,1.1981325068021609,-2.5492403979602094,0.21696886103184143,0.5343851920908794,1.313747938472602e-07,False,0
2023-06-04,18,42,0.8126458411965023,-1.1977901268559583,-1.1997365775759343,-0.4461425921864712,0.018761882733072187,-13.979615511279798,2.2645785280258717,-0.2846618699343377,0.9811636457703194,1.1981325068021609,-2.5492403979602094,0.21696886103184143,0.5343851920908794,1.313747938472602e-07,False,0
2023-06-05,6,15,0.8805054401407155,-1.294739561296082,-1.2332265082247191,-0.14434823908732225,-0.15625568007545299,-13.974455647085254,2.166463700266735,-0.4083391753171445,0.9625737128653674,1.223656692592616,-2.5748028755838797,0.2610829797272486,0.18689337574978154,1.3832958259989665e-07,False,0
2023-06-05,6,15,0.8805054401407155,-1.294739561296082,-1.2332265082247191,-0.14434823908732225,-0.15625568007545299,-13.974455647085254,2.166463700266735,-0.4083391753171445,0.9625737128653674,1.223656692592616,-2.5748028755838797,0.2610829797272486,0.18689337574978154,1.3832958259989665e-07,False,0
